barcode,name,price,cost_price,category,brand,specification,manufacturer,imageUrl,note
6951582501208,0120时宾杯,12.0,0.0,10,,,,,
6924615600124,012杯,39.0,0.0,10,,,,,
6902890233893,0趣儿,3.0,0.0,QS,,,,,
6927285489174,1.5广口壶,98.0,0.0,10,,,,,
6927285412264,1.5广口壶,178.0,0.0,10,,,,,
6928081500087,10*200沙棘,68.0,60.0,QS,,,,,
6927849460311,100好巴适,7.8,0.0,QS,,,,,
6901668001566,104奥利奥,11.8,6.0,QS,,,,,
6945702065527,1082真空壶,58.0,0.0,10,,,,,
6945702065534,1083真空壶,80.0,0.0,10,,,,,
6930799504462,108乐吧,8.5,0.0,QS,,,,,
6936850400056,115奶酪,13.8,9.0,QS,,,,,
6936850400018,118奶贝,13.8,8.5,QS,,,,,
6922824588004,120真巧,5.8,0.0,QS,,,,,
6949338201304,126雅斯顿蛋挞饼,5.8,0.0,QS,,,,,
6943408000392,128大刀溜牛,35.0,26.5,QS,,,,,
6942375381480,150ML保温杯,38.0,16.0,10,,,,,
6937481800062,150g牦牛肉干,38.0,0.0,QS,,,,,
"6922824587984, 6952389210034",156真巧,8.8,4.2,QS,,,,,
6901028143493,1575土楼,20.0,17.5,02,,,,,
6932459700429,160唐记胡豆,5.8,0.0,QS,,,,,
6921189510187,165德国缇米珑,9.5,0.0,QS,,,,,
6925509900047,168LED球灯,25.0,7.5,10,,,,,
6925509900214,168LED球灯,65.0,32.0,10,,,,,
6973539830339,16卡,55.0,21.0,10,,,,,
6920638588296,170火腿,4.5,0.0,QS,,,,,
6936152000893,180民族村3合1,11.8,0.0,QS,,,,,
6943408000156,198溜溜牛手撕,68.0,48.0,QS,,,,,
6954695190314,1号电池,8.0,3.2,10,,,,,
69027086,2.5,2.5,0.0,QS,,,,,
6935065900023,200沙棘,7.0,0.0,04,,,,,
6903148045183,200海飞丝,35.0,0.0,10,,,,,
"6903148093627, 6903148093658, 6903148093719",200潘婷,29.8,14.0,10,,,,,
6903148048818,200飘柔,19.8,11.5,10,,,,,
6911988007193,20枚达利园,13.0,7.1,QS,,,,,
6922145801325,210凤瓜,17.8,0.0,QS,,,,,
6941141901167,210青稞酒刚壶,28.0,13.0,03,,,,,
6901668053633,232奥利奥双心脆,18.8,11.9,QS,,,,,
6901668005809,233奥利奥,18.8,0.0,QS,,,,,
6943408000248,248风干,99.8,75.0,QS,,,,,
6920638588302,260火腿,6.5,0.0,QS,,,,,
6922766220062,268沙棘,8.5,0.0,04,,,,,
6941125903767,268苏打饼,11.8,0.0,QS,,,,,
6920609900386,280江津米花糖,12.8,0.0,QS,,,,,
6953087500069,28钢盆,15.0,0.0,10,,,,,
6940553360036,2升大可乐,12.0,0.0,QS,,,,,
6953392510388,2升雪碧,8.0,0.0,QS,,,,,
"6919892633101, 6919892633309, 6919892633606, 6919892633804, 6919892641205, 6919892990051, 6920731761800",3+2,6.8,0.0,QS,,,,,
6919892995162,3+2,7.8,0.0,QS,,,,,
6919892553201,3+2卷,6.8,0.0,QS,,,,,
"6919892633200, 6920731761008",3+2饼,6.8,0.0,QS,,,,,
6922766220093,30沙棘酒,128.0,0.0,03,,,,,
6973539830346,32卡,58.0,0.0,10,,,,,
6911988040886,360软面包,14.8,0.0,QS,,,,,
6958833700076,36钢盆,20.0,0.0,10,,,,,
6901668054098,390奥利奥,19.8,0.0,QS,,,,,
6901668054081,390奥利奥,19.8,13.3,QS,,,,,
6919892641106,3加2饼干,6.8,0.0,QS,,,,,
6920404483480,3合一,6.5,0.0,QS,,,,,
"6903148121627, 6903148179758",400海飞丝,43.5,0.0,10,,,,,
"6903148045008, 6903148045046",400海飞丝,48.0,0.0,10,,,,,
6925332989233,400红糖,13.8,0.0,QS,,,,,
6903148044940,400飘柔,28.0,0.0,10,,,,,
"6903148048825, 6903148048986, 6903148132531",400飘柔,32.5,0.0,10,,,,,
6934660516714,420苏菲,12.8,0.0,10,,,,,
6925733742284,4228水壶,15.0,0.0,10,,,,,
6901668005649,466奥利奥,25.8,0.0,QS,,,,,
6914782203457,4个磨堡,14.8,0.0,QS,,,,,
6923450658925,5     敢不敢    无糖口香糖,6.8,0.0,QS,,,,,
6949352200055,500拉雪花,7.0,4.16,03,,,,,
6954151100055,50度五粮春,258.0,0.0,03,,,,,
6954151100284,50度五粮春,328.0,0.0,03,,,,,
6901668054876,55杯奥,7.8,4.2,QS,,,,,
6920262320071,56奥利奥,9.8,5.0,QS,,,,,
8993175537445,58丽芝士纳宝帝奶酪饼,3.8,1.8,QS,,,,,
6926091463613,5A,13.8,0.0,09,,,,,
6904032030568,5L洗洁精,38.0,35.0,10,,,,,
6901382027859,63五粮液,998.0,0.0,03,,,,,
6933059066083,6608内衣,70.0,35.0,05,,,,,
6933059066984,6698内衣,88.0,40.0,05,,,,,
6931678812739,6味包,5.5,0.0,QS,,,,,
6930799506619,70G乐吧,5.8,0.0,QS,,,,,
6956313600168,70开心果,9.8,0.0,QS,,,,,
6972028301732,713子弹头,55.0,15.0,10,,,,,
6933059007383,738内衣,58.0,23.0,06,,,,,
6935891100017,7天防臭袜,12.0,2.5,10,,,,,
6948562800109,8006九分裤,68.0,0.0,06,,,,,
6927849461660,80好巴适,4.0,0.0,QS,,,,,
6927849461707,80好巴适豆干,4.0,0.0,QS,,,,,
"6914973100268, 6914973100367, 6914973100565",80德芙,12.8,0.0,QS,,,,,
6933059008311,831内衣,48.0,18.0,06,,,,,
6943408000033,88*10溜溜牛,180.0,145.0,QS,,,,,
